Date,Author,Body,Heading,Rating,Location
2021-07-14,Teapot_Railfan,"Since my phone is broken, on PC i can't even run my business with Whatsapp without getting forced to use my phone with massege 'Phone not connected' which is current on repair. Tryed reach customer service, but no luck.... just lazyness without any help! I'm thinking to switch to Telegram.","Disgusting app, worst customer service",1,HR
2023-09-28,Robert Grund,"The last update is awful.
The way they add channels to the app is horrible",The last update is awful.,1,US
2021-10-21,Mona,So Rubbish APP ever!!!! 👎💩,So Rubbish APP ever!!!!,1,GB
2020-08-09,Kathleen Ross,"Absolutely horrendous app. I sent a text at 6:30 pm. It is now 9:30 pm and the text has still not been sent. Uninstalling and looking elsewhere. Also tried sending them a message, which failed to send. No surprise there.",Don't install WhatsApp,1,US
2023-02-23,ASOEBI LAWAN,"The Quick & Best Ways How, Nobody wants to be in a hopeless relationship. Often times people find themselves to be victims of a cheating spouse. The big concern about this is that you may not even know if your lover is cheating on you. People go for months even years not knowing until they finally find out. Even worse, they find out from everyone else who's been knowing making them look some what foolish. Wouldn't you like to save your time, effort, and emotions by finding out right now? I sure would and here's how, There's so many ways to catch a cheater that one article alone couldn't cover them all, however, I'm going to go over some quick and effective ways on how to catch a cheater. Plan a vacation or some sort of business/family trip. Tell your lover what day you are expected to be back. So many people tend to cheat when they know their lover is out of town. The trick here is to show up around three to four days earlier than what you've told them. Also be sure to not tell anyone of this because you never know who he has on his side. If your lover has been recently working late hours at the office. Then it would be in your best interest to find out if he's really working. Show up at his office during the night shift with some form of gift. Whether it be something like his favorite dish that you cooked for dinner, etc. This is to help you not seem so suspicious of his actions. Check his cell phone. So many people use cell phones for all of their contacts and often times people who cheat either saves their significant other's phone number or it's left in their calls log. Check the dialed and received calls log and take note of any phone numbers which look suspicious. Aside from this yiu need UNIVERSALSPYSOLUTION on Gmail who is the best SPY to remotely get into your PARTNER phone without physical contact . It the best in California or call them +1 (802 )278 4316 good luck",THE BEST WAY TO CATCH A CHEATING SPOUSE,5,NG
2022-09-10,Georgiana Hall,Terrible for international calls. Just upgrade your cell service or try a video conference on one of the business apps like zoom.,Terrible for international calls,2,US
2023-12-04,Amit Roy,WhatsApp tracker,WhatsApp tracker,5,IN
2024-03-19,Aashish Kumar,"Greetings, my name is Ashish, and my phone number is 9990083798, which I put of my nephew accidentally. Because of this, WhatsApp blocked me, so I'm asking you to kindly unblock my account. I still need my WhatsApp number, so please assist me please unblock my account ",Unblock WhatsApp ,1,IN
2019-03-14,Ashok Faquir,"WhatsApp is great texting app which lets you send messages to any person who is using it and you can text and call people as well for free of cost the only thing you need is an internet connection. The app is being great for years, but recent updates has brought some changes which is making it little confusing and the status feature is gone as well.",WhatsApp is great texting app which…,3,GB
2023-12-31,Gamal Elkahlout,"If you don’t care of your data, your chat archive, and all your memories suddenly, without warning. All you have to do is use the WhatsApp program...they canceled and deleted my account and the accounts of dozens of friends without reason or notice. This program also clearly stands on the side of the Zionists who kill women and children and does not respond to objection messages. This is the same policy followed in the occupied territories.",Missing Credibility,1,SA
2020-04-01,Vivian Hido,"I cannot make calls unless I have wifi.  I cannot use my data
 Why this is happening",I cannot make calls unless I have wifi,1,CA
2022-10-27,Jordi Campos,"META always ruining things! the worst company in existence, ever since the acquisition the iOS app is terrible, it always gets stuck it, and there's a bug that when you switch to landscape mode accidentally when sending a voice note the whole app freezes and you have to restart, WhatsApp web never works and when it does it takes forever to load!,",Horrible!,1,CR
2022-09-18,Megha Kainth,Terrible support. Whatsapp only provides you automatic replies. There is no human to answer your question.,Terrible support,1,NZ
2024-03-04,Zak Khan,"My account got hacked however I had to wait 12 hours for a new verification code. 

When the 12 hours were up was messaged to wait another 12 hours. Watsapp Support ignorant of this.

Keep stating to reinstall app etc",My account got hacked however I had to…,1,GB
2020-02-01,Silvia,"WhatsApp support is the worst customer service body I have ever had the misfortune to contact. After my account got hacked , I asked for their help ; so they sent several emails ( clearly semi automated from their FAQs standard responses ) constantly repeating themselves. No regard for the customer at all or even for the use of  intelligent bods  to deal with their crap. Just appalling. Shocking!!!",WhatsApp support is the worst customer…,1,GB
2020-07-23,Amna Cheema,It’s the best app for chating and it’s really useful app just love this app,Useful app,5,DK
2018-12-14,Richard Macarthy,"What's app is so much useful in sharing all kinds of files it's good,simple to use and voice message and video calling options are making this to stay at the top of the list no issues in using it. Every one should use this safe and secure developers are at their best",What's app is so much useful in sharing…,3,MX
2023-04-29,David Dickinson,"Lucky to even get 1 star. Since they have taken over any company (Facebook, Meta) whatever you want to call them they have done nothing but ruins the good nature of that app/company.they are ridiculous ( as I can only speak politely ) 3 times in 2 days they blocked my WhatsApp account for me adding mobile numbers to a WhatsApp group that I am an administrator.. and now they could be losing me my job .",Lucky to even get 1 star,1,GB
2023-09-03,ENG MARSHAL,One of the best applications for making connections around the world is WhatsApp,FREE GLOBAL CONFECTIONS,5,SO
2018-07-18,Mellanie Chalamagne,All the reservations I had about WhatsApp went out the window once they made it possible to delete text already sent. That soled me all the way:),All the reservations I had about…,5,KE
2021-12-09,Scammerhunter,A lot of scammers use your app to do business. You should do something about it.,Scammer's best app,1,GR
2022-11-11,MONKEY,it didnt help me at all,it didnt help me at all,1,AU
2023-12-13,Tornike Asatiani,Terrible customer service! It is unbelievable how can a company like WhatsApp have such a terrible customer service that only responds to emails in a matter of hours. It is a platform for instant messaging where customers might be texting you every second and it takes hours for the support team to reply and there's no instant support available. Shame on you Meta!,Terrible customer service,1,GB
2012-01-10,Sofia,This is the best app on iPhone !!! I'm always connected to all my family and friends. It's available on all phone markets. I really wish it would b available for iPad as well as I recently sold my phone and got an iPad but I'm really disappointed coz it doesn't support what's app,Best app on iTunes!!!,5,GB
2020-12-16,BroskiBerry,"Completely unsafe, any WA group pretty much means all members will have your private phone number. Just use Telegram.",Who uses this?,2,DE
2023-07-31,AB,I use WhatsApp on my computer as an installed program - not web based. It performs flawlessly. In the years that I've been using it I have never had one single problem. If I send a message from my phone it instantly appears on my computer and the same from my computer is instantly on my phone. This also goes with all the replies I receive. Everything is instantaneous. Brilliant piece of software.,I use WhatsApp on my computer as an…,5,RU
2024-05-27,Robert M,"WhatsApp may be helpful contacting others in another country anywhere in the world, but unfortunately, Support does nothing to stop bad actors and fraudsters from using and abusing and scamming users. 
A negative report online achieves no response. 
RM",Scammers rule over WhatsApp. ,1,US
2023-07-15,ifra,"the best feature about whatsApp , its chatting is very responsive and reliable. we can share pictures, videos, files attachments, music, audio notes, documents, location contact easily and rapidly.",the best feature about whatsApp,4,PK
2020-03-25,The Transgender Cupcake,A great thing. You can talk to no matter who behind borders if there is wi-fi and pay nothing for it!,5 stars,5,CZ
2022-07-09,Mr Jonathan Mayshar,"In general the app is works  
BUT
   if a problem occurs, there is NO SUPPORT.
The support appears to be a predictive text BOT, 
at times suggesting that ""a problem"" is with the cell service provider.  All this is when a well defined problem is emailed to them.
is this the META philosophy?",In general the app is works,1,GB
2019-06-01,John M,When used on a computer: You phone is not connected. How funny since I'm using my computer and not my phone. Horrible app!,When used on a computer,1,DK
2022-05-01,Jovan Ruzic,"This is the single worst customer service experience I've had in my life. 
Stickers didn't work on the web version of the app, I reported it. only to receive an automated reply of how I can log in the web app. 
I angrily replied asking to read it again, only to get a short ""clear the cache"" response. I was very clear that it doesn't help since I've tried multiple devices, clearing cache multiple times. 
They just closed the issue. This was so horrible that ""Bad"" is a gross understatement.",Single worst customer service,1,RS
2024-02-20,Graham,"No transparency, blocking number, no explanation. 

Very confused, no information, had to change numbers twice. 

Happy to change something if it was explained, but no idea what the issue is.","No transparency, blocking number, no explanation",1,GB
2020-05-11,Cristian Stefanescu,"Whatsapp sucks. As an admin you have virtually no rights over the group you created. People can post anything including hate messages and use of bad language as an admin, you cannot delete their messages, you cannot give the a cool-down period, nothing. Out of control.",Whatsapp sucks,1,QA
2022-12-07,Tim,"WhatsApp customer service is absolutely nonexistent – what a useless organization!!! But then it is part of Meta and like anything American it is only concerned with profit: quality and good customer service are not part of the culture

God Bless Earth! God Save Earth!",WhatsApp Customer Service,1,GB
2020-03-12,Nehal Singh,Really like it,Really like it,5,IN
2019-08-18,NIDHI THAKKER,"Pls forward options and chat option should both be different 
At present if any one want to forward any message it takes to much time as u r giving 3 option in whatsapp 
1.chat.2.status 3.call pls make one column of forward system or any other way 

And status option should be limited I think",Pls forward options and chat option…,1,IN
2020-08-28,Rajya ghoshal ,"would say,that the app is very comfortable to use and very easy.I use it every day.","would say,that the app is very…",4,IN
2021-12-09,Seth Baidoo,It's quite positive and more helpful to the world at large. Since the inception of this app. I have personally read a lot of reviews concerning this particular app and trust me about 80% point to the fact that it's more helpful than coursing harm to the world. Communication has become easier and Businesses have also thrieved over the years. My experience with this app has brought me more fortune both in business wise and in communication in general. I therefore promote this app more seriously.,WhatsApp Is doing more good than harm,4,GH
2023-10-03,Ahsan siddiqui,"WhatsApp service is very very bad.
I'm from Pakistan.
Cantact me this Number.

+92-3333413343
Last month August Suddenly my whatsapp stopped working.

After that I am tried to ask a lot of time contact whatsapp support team but they didn't give me any specific answer.
I am very worried it's been two months my whatsappapp was shut down without any notice.
I found no such rules violation because of which my account has been banned.
kindle anyone who can see this issue please help me my whatsapp is not working since two months.
I am in so much trouble so much problem to communicate with my friends relatives happening.",WhatsApp service is very very bad.,1,PK
2020-03-11,Renu Sharma,"Hi I love WhatsApp but I just want to say it can be frustrating when in a group chat people know when you've read a messafe. In an update it could be an idea to have an option for that a bit like read receipts.
Thanks for your time 😊",Hi I love WhatsApp but I just want to…,5,IN
2019-07-10,Isaac Mwotasubi,"Great service, 
Though the addition to the group without my permission annoys, or since I'm added without permission group members should not be notified when I leave, notification of ""0784 xxxxxx left"" should only be visible to the admin, not all members. thanks",Great service,3,UG
2020-05-09,bunny,Please Add filters on video calling like azar app ? For better lighting and view,Please Add filters like a azar app,1,IN
2020-04-13,Lau Hui Meng,"I actually like this app as it is actually easy to use. But I have a problem using it because  I can't get quick reply from  any receivers who are my lecturers and friends,,,,, need to wait for a few hours on average then only can receive a reply....",I actually like this app as it is…,3,MY
2020-04-26,Sajjad Khan,"I got badly stuck but still waiting to get the verification code , it getting more time longer ever time there in it help line if you got stuck then forget about the help I will say better use viber or some other software if you get stuck you will
Never get help out they just give you services to use once you stuck there is no help at all",I got badly stuck but still waiting to…,1,IE
2020-02-18,Dan Rush,Use this free app for connecting with my friends abroad. Very nice and easy to use.,Use this free app for connecting with…,4,US
2020-02-12,Fern,Great app get to make video calls   share videos clips pics name it. Best app to speak to your loved ones no matter where they are,Great app get to make video calls  …,5,LC
2022-01-09,ELLZER,"Make a ipad , tablet version.",Make a ipad version.,3,US
2020-07-28,Alisha Jacques,It has way to many catfish scammers that start on dating sites like plent of fish  saying they are in the army or where ever military but they are mit the people the portray   and then you call them out they will not do videos,It has way to many catfish scammers…,1,US
2019-05-28,David Hardie,"It is excellent for messages but the call part rarely works first time AND IT IS TOO TOO TOO EASY TO MAKE A CALL IN ERROR. Twice in the last 12 hours someone has clicked on my missed call in the middle of the night and initiated a call to me. WhatsApp people, stop making it too easy to call someone in error.",It is excellent for messages but.....,3,GB
2018-04-16,Thomas,"Bringing safe communication to a billion users, this is really positive as you can find a majority of your friends using this app. Their web page allows for use of a PC for easier typing of messages on a real keyboard, but lacks voice - which Viber offers.

Also it seems any media sent via the app is at least not securely saved on your mobile device, in open directories. Signal is more secure as no metadata is available to 3rd parties as it's not being logged by Facebook. But at least your chats are secure and the app is used by many mobile users.

I think it was blocked by the Great Firewall when I was visiting mainland China. Yahoo and Microsoft were not blocked.",Bringing safe communication to a…,4,DE
2019-10-12,Geof Lawrence,"Whatsapp is shockingly bad. Far too difficult to search for anything - persistently defaults to local area. 
Reviews do not fade with time so if a business improves or declines with time WA does not indicate that.

Useless",Whatsapp is shockingly bad,1,GB
2020-03-12,BittuBeyDardi ,I thing its a best for the communication since past many years. It had great features to enhance the communication👌,I thing its a best for the…,5,IN
2021-05-05,Aj creation,"Whataspp best app connect friends and familys. Style very marvelous, video calling and group calling nice, privacy settings hard, I'm long time use this app really fabulous nice one.",Connecting,4,IN
2018-09-03,Arun Kumar,"BUT PLEASE ADD FEATURE FOR ATTACHING FILE WITH MESSAGE SENT,
SO WE CAN TAG A PARTICULAR REFERENCE FILE WITH A MESSAGE SENT TO SOMEONE.
IT WILL REALLY HELP FUL FOR BUSINESS COMMUNICATION",BUT PLEASE ADD FEATURE FOR ATTACHING…,5,IN
2024-05-07,Iron Trooper Haloe,"There is 0 customer service. The app does nothing to stop scammers, people doing fraud and hackers. Absolutely nothing. Chats are not encrypted anyone can see anything you send through the app. Have tried for months to get help and have had absolutely nothing from WhatsApp. Do not recommend.",There is 0 customer service,1,NL
2024-04-22,Dee,"There are scammers on Whatsapp who are using this website to impersonate people who are training you to do a legitimate job. 
 It's not legitimate!  The trainers are nice and polite and train you to a point where you gain their trust. THEY TELL YOU At FIRST THEY TELL YOU THAT YOU NEED A FEW DOLLARS, IT COULD BE $100 TO CONTINUE WORKING, YOU CONSIDER IT BECAUSE YOU NEED TO WORK AND YOU NEED TO MAKE MONEY!   Then as the training proceeds, you are required to shell out more money.  This time, hundreds of dollars in order to keep working.  if you don't have the 
money, well, too bad, because the little money that you did give them is gone.  If you tell them you don't have the money, then they tell you to borrow the money from family and friends.  You tell them you can't and they keep pressing you to do that. Don't let them scam you further! When they tell you that you need $200-$300 or more to continue working, DON'T DO IT!  But I'm letting you know so that you don't give them ANY money!  Once they tell you that you have to pay to keep working, drop them!  WHATS APP IS A GOOD SITE, BUT THE SCAMMERS HAVE INFILTRATED IT!  BEWARE!",BEWARE OF SCAMMERS ON WHATSAPP WHO ARE OFFERING YOU A JOB THAT PAYS UP TO $150/DAY!,2,US
2021-02-22,Colin Shearn,"WhatsApp T&Cs require you to provide all your mobile's contacts to them. If you do that without the prior agreement from your contacts, you would be breaching privacy and data protection law in Europe.",WhatsApp T&Cs breach data protection law,1,GB
2023-07-18,Mike,"This app is helpful.
BUT it's hard to use.
I only chat with my workmate.",hard to use,3,ES
2020-04-11,oana boiciuc,It sucks since Zuckerberg bought it. Now it doesn 't allow you to send messages to more than one person.I feel like during communist times.,It sucks since Zuckerberg bought it,1,RO
2018-11-28,Jack Doyle,"The app itself works very well, but the web version is terribly buggy, please look into this.",Fix the web client,3,UA
2021-03-20,TrustedReviews,"The App itself isn't bad, but they are very slow at implementing features that other Messengers have had for a long time. Combined with the greediness of Zuckerberg wanting to get all our private information I just don't see a reason to stick with WhatsApp. I'm going to delete it as soon as I can convince more people to change to Telegram.",Zuckerberg...,2,CH
2021-09-06,Jeremia Wijaya,Keep stealing data and our privacy. What a dumbass company!,Keep stealing data and our privacy,1,ID
2019-10-24,Catherine,Video chat is horrible. Absolutely unable to converse. Too choppy. Cuts in and out and freezes. Terrible.,Video chat is horrible,1,CA
2023-04-14,Jay,"Tech support not even replying!

After getting fobbed off by WhatsApp i spent ages with Apple support who were amazing and they confirmed there’s a bug in WhatsApp & the new IOS update so I went back to WhatsApp and had 1 chat closed as soon as I mentioned the CarPlay issue & another 2 chats not even respond. 

Absolutely shocking company.",Tech support not even replying!,1,GB
2022-11-12,Tim Grasmaijer,"It is unbelievable how bad the customer support for such a big company is. They only send standard answers and when I keep repeating that this doesn't solve the problem, they don't respond anymore. It sucks that Whatsapp has such a strong network effect, I'd rather stop using completely.",Unbelievably bad customer service 😡,1,NL
2020-05-23,Jennifa Akther-Priya,"This is the best messaging service to keep in contact with friends and family,  I think everyone needs this on their phones!
I like the fact you can group video call, you don't need to have iPhone facetime.",This is the best messaging service to…,5,GB
2019-12-19,Philemon Rugierro,Isn't it about time WhatsApp made it impossible to add a user to a group without their express content?,Isn't it about time WhatsApp made it…,3,US
2022-09-27,Anna Podkorytova,"My account was suddenly out of nowhere blocked. I did nothing at ALL, wokeup in the morning and found it locked. i requested a review and got rejected without explanation.

UPDATE:
The worst customer service ever, very RUDE and not helpful at all.",META sucks,1,EG
2023-06-03,swadarshan,"I see we all come here desperately to somehow make ourselves ""heard"" - since Whatsapp decided to abandon its customers and give ZERO SUPPORT to them in especially such big change, when they stop allowing many of its own users to continue use their ""services"". Yeah well, it's your choice Whatsapp, to give no $#!T about losing your own customers. Many people may use older Android phone FOR A REASON, but in my case, this would be about a perfectly working SURFACE PRO X latest updated Windows10 which is in fact runs neither on 64bit nor on 32, because it has an ARM based processor - so it CANNOT actually ""update its operation system"" to Whatsapp's limited favor. But they won't bother to read my issue nor answering it for over full week now, I send desperate messages to their so-called ""support""-line nearly every day, and all they do is only trying to guess useless problems by a stupid bot. Obviously the robot is so stupid, cannot comprehend certain situations which aren't programmed into their knowledge. That's why Whatsapp should employ actual human beings to read our messages, but maybe they really just want to get rid of so many users?!?",Without ANY support for genuine users WhatsApp decided to get rid of them,1,GB
2014-12-22,Malene Andersen,"I love this app..!
Such a great wonderful one, with no problems all.
Rly thumbs up,for that!!",just great!,4,DK
2024-01-27,Danny Green,"Truly the worst tech support ever, they don't read what you write and shut you off after 3 messages",Truly the worst tech support ever,1,GB
2018-12-05,Daniel Meireles,"The mobile app works really well but the web client has alot of bugs and glitches, please fix them!",Web client is really buggy,3,UA
2023-12-13,ric p,"Whatsapp, you sofware enginner is a fool

So someone could send a company contact, but is a company you cant add him as a contact

What a mierda of SE",Whatsapp,1,ES
2023-12-29,Malte Fog,…………………***,Customer service,1,DK
2021-03-18,MR COLIN FORSTER,We thought whatsapp was safe until we experienced this awful ban for no reason which cannot be rectified. We realise now that we've been scammed through whatsapp which makes us very insecure  We've deleted it from our phone and computer and advising our friends and family to do likewise and asking them to contact us safely through signal.com.,We thought whatsapp was safe... until we…,1,GB
2023-05-29,MB,"Love Whatsapp - use it a lot
especially useful to send photos & docs on pc to phone

But recently Whatsapp is adking for an update on Windows - phone updated no problem but the Whatsapp on Windows 10 reports that it is ""Outdated"" - the app icon is greyed out and everytime you shut it down it you have to set it all up again - so annoying
Customer Services insist it is not their issue - when clearly something in the app script is not working with Windows 10 64bit anyway - cannot speak for 32bit
Windows Microstore decides that you already have a copy of the app / does not see that you have need of an update - it seems that at least one other user - an Apple user - is having trouble updating also - that review made on Trust PIlot in April 2023 which suggests that there is a bug in the new app / app update",Love Whatsapp but issues with Update driving me crazy,3,GB
2022-12-01,Gabi,"What a terrible application. Absolutely zero privacy. Supposedly private phone calls with your mother will result in phone calls from unhinged Airbnb workers repeating what was said in your Whatsapp conversation. The makers of these ""technologies"" are morons. I terminated my account and deleted the application. This type of service is for YouTube watchers, not me.",What a terrible application,1,GB
2024-02-01,sarah kreuz “itssarahkaay”,"If someone sets 90 days with self-deleting messages in the chat - then the other party sees this because a message in the chat of WhatsApp with the message 90 days or the person has switched it off ect. - My question - why does this information have to be there forever - of course it is good if it is there once so that the person sees it but if this message is in the chat forever I find it ultra annoying!
Then you could send video messages with the circle? 
That feature no longer works either!",If someone sets 90 days with…,1,AT
2023-10-01,Consumer,"Had same issue as others where latest update wiped all messages. Help/support have been useless. When I told them I had tried all their suggestions I got a snippy email saying they had given me the solution already, and ended contact.",Had same issue as others where latest…,1,GB
2021-02-06,Vico,"It is great site and app, it helps people to connect with each other in smooth way.
Stickers and gifs are superb.
Status and privacy options are cool.
The number of friends shown there is important.
I hope the color of the app changes to yellow. 
Thank you.",Best quick app,5,SY
2021-01-23,Dean L,"I have never used any other messaging app other than WhatsApp - it works fine and I never knew any better, until the new T&E which now gives the permission to pass my personal WhatsApp data to their parent company Facebook. 

WhatsApp seems to be threatening its customers to accept these conditions or close your account. This is not good customer service or PR.

Unfortunately, a pandora’s box has been unleashed  and as a long-time, loyal user, my eyes have been opened to stronger, more feature-rich and safer communication platforms out there, as Signal and Telegram. Privacy is important to users - WhatsApp is not reflecting that in their product and client ethos unfortunately.",Privacy and respect for customers - none shown,1,GB
2020-12-07,Naud Peters,"I use whats app for communication, calls and quick chats. Its working very well on web and on mobile
Thank you, its a pleasure",I use whats app for communication,5,NL
2023-07-13,Zoltan Jobbagy,Easy to lose all messages for many years back. Don’t keep any important pictures or messages on it!!!,Easy to lose all messages for many…,1,GB
2019-11-09,Penny Sjöberg,I'm using this app everyday and it make contacting my family and friends very easy.,I'm using this app everyday and it make…,4,IL
2023-05-28,Butler,"for the past month they keep banning me because of some imagined breach, i contact support and they investigate, unblock me, then the system blocks me again, this is happening virtually every other day, and even when i don't send anything, or open messages, there can be nothing happening on my account, yet I'm somehow breaching their  terms, its a farce, if there was an government  body i could complain to, i would.",for the past month they keep banning me…,1,GB
2024-04-30,Adam Bent,"Like other people have said, support is non-existent.  Their auto-bot always gives you advice that you don't need, and then just eventually gives up and sends you on your way.  It is very infuriating when you encounter a problem.  Whilst everything is working, it is mostly fine.  I tried to report a bug to them ages ago, and I actually somehow got through to a real person, but they were adamant that their software is perfect and bug-free so must be user error, even though I am a software engineer.
I don't understand how WhatsApp is so popular when the support is non-existent.  I am sure if they just started up now then they wouldn't have any customers.
I had an issue yesterday where WhatsApp on my Android phone ""encountered an error"" and insisted it needed to perform a restore, so I let it.  That then resulted in deleting ALL messages from 3rd Feb to today because the last successful backup it did was 3rd Feb!!!  So, as you can imagine, I was majorly infuriated by this!!!!  I tried to contact WhatsApp about it but their auto-bot just gave me useless things to try and then gave up and sent me on my way.  So, I was now even MORE infuriated!!!",Support is non-existent!,1,GB
2018-02-07,Clare Whitehead,"Although they are quick to respond, Whatsapp customer service are also like to bat you off to their FAQ section without asking for more information or providing help to more obscure problems. Whatsapp - great when it works, which it does very well most of the time, but if you get stuck! Good luck!","If you get stuck, good luck!",3,GB
2019-11-20,Adrian Kwiecien,"Great app, love it so much.",Great app,5,GB
2024-04-10,Adrian Klobučník,The fact that I can't even do anything on my WhatsApp as I get immediately banned speaks for itself. I wish there would be 0/5 option,The worst user experience I've ever experienced from a well known company,1,DK
2023-09-19,Hal,"Love it for daily interaction, I’m now however put off from using it… WhatsApp you were unique in your own way? After the update they have copied Snapchat in terms of watching people’s status updates. 

You could previously even see what was posted without opening on iPhone and you can no longer do that. 0 stars I will be deleting absolutely awful !! Moreover it was easy use for my elderly mum why complicate and change things !!!!",BAD UPDATE. Will be deleting.,1,GB
2018-05-07,Rachel Usher ,"I love WhatsApp, I've been using this since they used to charge yearly for it. Totally worth it for free messaging, photo sending and calls. 

I've noticed that I've gone from having massive bills to hardly using any of my contract any more. Thanks WhatsApp!",I love WhatsApp,5,GB
2023-07-13,Angga Agia Wardhana,"we just bought corporate number and the number promptly get banned on whatsapp. we are not even finished setting up whatsapp app.

trying contact support is like talking to a wall, they keep looping to the article, the doesn't even give explanation, super useless, I don't know if they are using AI to respond, but I'm already at loss contacting them. 

I would give 0 stars or minus a million star for their support if I could.

to any company that have support, learn from whatsapp on how NOT TO SUPPORT your customer and keep them in an infinite email loop",whatsapp support = USELESS,1,ID
2021-01-12,Dark Angel,"Big brother is watching you !

BOYCOTT WHATSAPP 

Nous sommes tous notés",Big brother is watching you !,1,FR
2022-11-18,william bell,"If I could, I’d give WhatsApp zero stars, in fact negative 5*; actually negative a million!. Their support is the worst - the VERY WORST - in the industry. But you know what - they DON’T CARE. It is all deliberate - designed to stop customers seeking help - arrogance of the highest order.

There is an issue with the Chat Auto Backup - the issue is quite simple - IT DOES NOT WORK. I have had this problem for most of this year. And despite numerous attempts, WhatsApp have FAILED MISERABLY to resolve. In fact, their favourite tactic is to just push back on the customer - they NEVER want to accept responsibility for anything or acknowledge anything is wrong.

Now get this: their latest solution (sent by a very rare email) FAILED. So, I replied to THEIR email on the very issue. Their reply was INCREDULOUS: “Unfortunately, this issue is out of scope of WhatsApp Support!”.

How can that be when THEY sent the VERY EMAIL offering THEIR solution (that did not work) on the VERY ISSUE being discussed?

Like I said - it is all a deliberate ploy to stop users contacting them.

Either that, or the people employed in WhatsApp support are illiterate, and completely and utter STUPID.

But you know what - it doesn’t matter how many people write bad reviews - nothing will change - THEY SIMPLY DON’T CARE.

In fact, they probably relish the bad reviews – sitting back relaxing in the canteen (because quite clearly they are incapable of any kind of serious work) having a good laugh at the expense of all of us that have posted negative reviews.",WORST SUPPORT IN THE IT INDUSTRY ANYWHERE IN THE WORLD,1,GB
2023-07-21,Ficus,"My WhatsApp is flooded with messages, and I can't access them anymore because of limited space. Whenever I try to delete some messages, WhatsApp won't allow it, leaving me unable to use the app. It's frustrating and disappointing that WhatsApp has also locked my account. This is a real problem, and I hope they address it soon.",Message Overflow and App Lockdown,1,GB
2021-07-29,marcus hunta,"The new Whats app is terrible, you should be able to hang up on someone who’s not answering",The new Whats app is terrible,1,GB
2020-04-11,Jan Hollestelle,since it belongs to Facebook it sucks.  first 5 now 1.they are just going for extra money. I hate them,since it belongs to Facebook it sucks,1,NL
2023-12-07,Bemuka Kajura Marvin,"My account  was banned from what's app yet I didn't go against the terms please,  I can't  access  my  chatts  anymore please  +256 703 979239  is account number.  I will be grateful to  hear from you  about  my account please",My account  was banned from what's app…,3,US
2023-11-27,Lilwhipboi,You literally can just talk to ur friends for free and it's good and you can have groups and all that and no chat moderation like Roblox does,Free messages,5,GB
2020-03-08,Appu K,Best app i love very much,Best app,5,IN
2023-09-09,Faiz Khan,WhatsApp is very good it has many conveniences,WhatsApp is very good it has many…,4,PK
2019-11-09,Rup Art ,"WHATSAPP IS WORST APP IN THIS WORLD Data TRANSFER IS WORST.

WECHAT IS THE BEST IN THIS. 
IF POSSIBLE DON'T USE WHATSAPP...",WHATSAPP IS WORST APP IN THIS WORLD,1,AE
2018-12-29,Bharat Mishra,"Since last month chat history has been disappearing chronologically. Now trend has changed, every morning I find one or two chat history disappeared. I'm using MOTO G4 Plus mobile and recently got to know through google search that there are many people facing the same issue. 
Surprisingly whatsapp doesn't revert to this problem as more than 25 mails I have written to their support team. I had tried reinstalling app almost five times and reset my mobile too but nothing changed. I even stopped using antivirus and cleaning app to avoid any confusion.",Whatsapp Chat History Disappearing Automatically everyday,1,IN
2023-01-26,Adegboye Judith,"WhatsApp is a highly popular messaging app that allows users to easily communicate with friends and family through instant messaging, voice and video calls, and group chats. It is available for both iOS and Android devices, and it is known for its user-friendly interface and robust features. Some of its key features include end-to-end encryption for increased security, the ability to send and receive multimedia files, and the ability to make group calls with up to eight people. Overall, WhatsApp is a reliable and easy-to-use app that is widely recommended for anyone looking for a good messaging app.",WhatsApp is a highly popular messaging…,5,NG
2023-05-02,Timbrukah,"For all the people going absolutely stir crazy trying to update WhatsApp using the Microsoft Store, this is for you.
I don't know how many hours I wasted trying to upgrade, troubleshooting, uninstalling, re-installing WhatsApp from the Microsoft Store.
It was a complete and utter and frustrating waste of time.
On its Home Page, WhatsApp said ""You can use WhatsApp Web.""
Which I took to mean you could access your WhatsApp account by logging into the WhatsApp website.
I couldn't actually find the website, which is not WA + web but web *dot* wa [spelled out] *dot* com.
Once I rebooted my phone so it would read QR codes and clicked Link Device, it took less than a minute to upgrade to the new WhatsApp!
Why WA didn't make this clear on their Home Page, I don't know.
In any case, I hope this spares at least a few people many hours of frustration.",Bumped up from 2 stars to 4. Quick WA upgrade trick.,4,GB
2020-03-12,hi souvik,Big social media i really like it,Big social media i really like it,5,IN
2022-10-25,Ellen,"After Meta buy whatsapp, the service is always unstable, and got a lot of non stop advertising. most annoying part is they will create group and add your mobile as admin. terriable, today i down again.
Meta should find somebody to do better.",always down,1,HK
2023-09-24,Marmot,I have lost 8 years of messages and it is absolutely devastating. It is far too easy to lose your entire chat history on this app.,I have lost 8 years of messages and it…,1,AU
2019-08-05,Elhanan,"Used WhatsApp for years and it's still the best chat app. I use it to communicate with family, friends, and clients. Most of my business happens though WhatsApp. All history is available when devices are switched. Maybe Telegram will prevail eventually but WhatsApp is still the best.",Still the best chat app despite growing competition,5,PT
2024-04-11,Mark Wade,Keeps backing up without consent ,Keeps backing up without consent,1,GB
